Company_Name,Company_Age,CIBIL_Commercial_Score,GSTR_Declared_Revenue_Cr,Bank_Statement_Inflow_Cr,Litigation_Count,News_Sentiment_Score,Loan_Approved,Approved_Limit_Cr,Interest_Rate_Pct
"Edwin, Thakkar and Saraf",45,712,100.3,138.62,0,0.61,0,0.0,0.0
Ranganathan-Balakrishnan,32,894,418.24,421.5,0,-0.05,1,64.78,8.53
Yogi-Bakshi,17,300,382.46,367.2,1,0.77,0,0.0,0.0
"Sachar, Mann and Baria",5,827,319.52,307.87,0,0.12,1,45.63,10.37
Pal-Chokshi,48,390,161.77,164.5,0,0.22,0,0.0,0.0
"Mahal, Bala and Sha",26,611,194.38,188.54,0,0.09,1,24.71,9.95
Saran Group,43,620,395.92,426.77,0,-0.37,1,49.86,9.9
Mallick PLC,4,794,141.79,154.24,1,-0.91,0,0.0,0.0
Dutt-Choudhary,5,640,58.79,53.5,1,0.2,1,7.14,11.3
"Chaudhary, Saini and Bal",4,830,119.7,55.79,1,0.59,0,0.0,0.0
Bhasin Inc,29,642,416.7,392.66,1,-0.95,0,0.0,0.0
"Halder, Iyengar and Mannan",25,530,421.0,697.56,1,0.16,0,0.0,0.0
"Kant, Shetty and Karpe",13,335,166.29,153.15,0,-0.94,0,0.0,0.0
"Kalla, Parmer and Khurana",41,527,469.52,514.81,0,-0.79,0,0.0,0.0
"Mistry, Sem and Kara",31,456,222.04,390.33,0,-0.72,0,0.0,0.0
Ramaswamy Ltd,24,786,213.51,134.93,0,0.96,0,0.0,0.0
Ratti-Tata,24,801,359.47,337.56,0,-0.77,0,0.0,0.0
"Setty, Saini and Sengupta",24,610,30.98,29.87,0,-0.09,1,3.41,9.95
"Sangha, Sathe and Taneja",17,812,309.47,306.22,0,-0.07,1,57.75,8.94
Setty-Sandal,36,534,139.25,243.93,0,-0.27,0,0.0,0.0
Nori-Bhasin,26,660,353.06,319.61,0,0.47,1,48.08,9.7
Saini and Sons,4,815,295.63,391.69,0,0.88,0,0.0,0.0
"Mander, Edwin and Agarwal",10,420,348.99,370.59,0,-0.11,0,0.0,0.0
Lanka Inc,10,798,192.44,206.28,0,0.08,1,37.36,9.01
Naidu-Bhavsar,15,636,184.0,125.42,0,0.94,0,0.0,0.0
"Mammen, Aggarwal and Talwar",23,889,21.89,20.35,3,0.27,0,0.0,0.0
Bose-Reddy,12,386,335.57,360.03,1,0.73,0,0.0,0.0
"Raval, Datta and Khurana",44,875,483.09,866.8,0,-0.33,0,0.0,0.0
Chawla and Sons,23,866,139.26,224.81,0,0.56,0,0.0,0.0
Tak Group,25,358,24.67,17.01,0,0.32,0,0.0,0.0
Rau Ltd,28,323,128.68,127.04,0,0.63,0,0.0,0.0
Shroff LLC,12,776,341.48,327.37,3,-0.96,0,0.0,0.0
Luthra-Parekh,36,846,386.29,397.6,0,-0.15,1,87.23,8.77
Chaudhari-Kumar,32,885,437.51,420.78,0,0.96,1,102.75,8.57
Mane-Banerjee,14,379,37.89,36.15,2,-0.34,0,0.0,0.0
"Nagy, Ram and Dhingra",13,320,194.42,212.18,0,-0.06,0,0.0,0.0
Dixit-De,5,677,496.25,203.84,2,-0.15,0,0.0,0.0
Dani Group,39,859,420.47,443.82,0,-0.8,0,0.0,0.0
Mody-Dar,29,518,188.73,187.29,0,-0.14,0,0.0,0.0
"Singh, Nori and Bora",25,495,142.34,143.24,0,-0.93,0,0.0,0.0
"Saraf, Gupta and Khare",31,893,408.41,395.67,0,-0.62,0,0.0,0.0
Madan-Guha,29,886,10.1,9.92,0,-0.0,1,1.65,8.57
Devan-Bal,30,552,418.99,450.21,0,-0.28,0,0.0,0.0
Chaudhari Group,45,746,54.73,56.09,0,0.23,1,9.59,9.27
Om LLC,26,804,495.14,487.4,5,0.14,0,0.0,0.0
"Boase, Seth and Baria",13,417,224.85,221.96,2,-0.94,0,0.0,0.0
"Iyer, De and Seth",40,722,257.94,263.46,0,0.55,1,47.3,9.39
Bhattacharyya-Lad,16,627,224.97,246.59,0,0.08,1,36.2,9.87
Biswas-Shankar,47,417,145.21,133.86,0,0.62,0,0.0,0.0
Sabharwal-Kale,42,549,392.82,432.05,0,0.46,0,0.0,0.0
Chana and Sons,18,739,317.59,336.41,0,-0.23,1,41.92,9.3
Bobal-Mann,38,371,405.36,408.82,0,-0.19,0,0.0,0.0
Devi and Sons,15,413,258.44,272.0,0,-0.94,0,0.0,0.0
"Madan, Seth and Bora",6,683,370.02,405.31,0,0.28,1,51.17,9.59
Mitra-Behl,12,434,379.47,393.95,0,0.93,0,0.0,0.0
"Desai, Roy and Behl",39,881,155.46,151.78,0,-0.68,0,0.0,0.0
Ganguly Ltd,23,814,157.5,158.88,0,0.93,1,25.83,8.93
Kapur Inc,21,318,386.71,380.12,2,0.69,0,0.0,0.0
Mammen-Chaudhary,24,873,340.06,342.66,0,-0.46,1,64.48,8.63
Raju Inc,36,428,235.56,153.2,0,-0.07,0,0.0,0.0
Naidu Group,24,808,445.42,488.49,3,0.66,0,0.0,0.0
Singhal LLC,14,410,313.43,330.93,2,-0.89,0,0.0,0.0
Chaudhuri Ltd,10,350,189.38,185.09,0,-0.05,0,0.0,0.0
Badal Ltd,48,819,232.4,247.51,0,-0.11,1,44.18,8.9
Murty PLC,5,393,435.83,459.59,1,0.14,0,0.0,0.0
Chopra Ltd,10,682,99.24,98.17,0,-0.27,1,16.98,9.59
Choudhary-Saran,48,373,457.43,494.16,0,0.63,0,0.0,0.0
Desai LLC,15,323,246.24,252.86,1,-0.53,0,0.0,0.0
Khanna-Chandran,46,471,286.91,314.63,1,-0.82,0,0.0,0.0
"Shah, Kala and Sastry",9,823,142.57,142.98,0,-0.29,1,21.55,8.88
"Sani, Sami and Karnik",10,484,26.66,28.56,0,-0.85,0,0.0,0.0
Basu-Sankar,3,349,148.55,136.52,0,-0.29,0,0.0,0.0
"Wali, Raj and Mangat",38,691,400.13,169.87,1,0.99,0,0.0,0.0
"Doctor, Tank and Bobal",25,305,439.4,400.99,0,-0.73,0,0.0,0.0
"Samra, Raman and Chowdhury",26,712,440.25,461.41,0,0.99,1,55.59,9.44
Menon-Borde,22,678,158.0,158.11,1,-0.47,1,22.43,9.61
"Goyal, Raghavan and Bala",25,329,436.24,407.45,0,0.94,0,0.0,0.0
"Rau, Borra and Amble",44,774,479.46,666.73,0,0.9,0,0.0,0.0
"Jayaraman, Patla and Andra",4,347,154.84,252.97,0,0.44,0,0.0,0.0
Sampath-Wadhwa,27,475,420.77,456.83,0,-0.69,0,0.0,0.0
"Dixit, Sandal and Padmanabhan",28,404,130.67,85.07,0,-0.87,0,0.0,0.0
Raju-Kaul,22,548,253.71,253.27,0,-0.33,0,0.0,0.0
"Mital, Mody and Bhat",38,496,365.22,357.45,0,0.83,0,0.0,0.0
"Swaminathan, Dugar and Bandi",32,633,28.97,27.97,3,-0.82,0,0.0,0.0
"Tara, Sridhar and Mann",17,638,483.23,483.49,0,-0.91,0,0.0,0.0
"Sharma, Baria and Kakar",25,501,260.2,269.1,2,0.06,0,0.0,0.0
Buch-Nagi,21,725,406.44,371.96,0,-0.16,1,58.28,9.38
"Batra, Wali and Sheth",13,783,391.92,375.32,1,-0.47,1,50.65,9.09
Raval Ltd,31,425,131.94,132.5,0,-0.78,0,0.0,0.0
Lalla LLC,7,615,79.8,86.83,1,-0.88,0,0.0,0.0
Goel and Sons,47,557,395.0,209.0,0,0.44,0,0.0,0.0
"Bhardwaj, Bajaj and Dora",30,547,307.64,283.29,0,0.71,0,0.0,0.0
Choudhry-Khalsa,45,622,187.64,205.87,3,0.95,0,0.0,0.0
Sood-Kale,7,784,465.37,419.7,0,-0.9,0,0.0,0.0
Tripathi-Kashyap,8,482,181.03,170.46,2,0.23,0,0.0,0.0
"Muni, Sehgal and Bava",25,546,324.29,344.11,2,0.87,0,0.0,0.0
"Nair, Sagar and Deo",7,888,59.34,95.88,2,-0.21,0,0.0,0.0
"Tank, Oommen and Peri",30,596,111.32,104.06,0,-0.64,0,0.0,0.0
Keer-Babu,31,526,442.66,479.92,0,0.89,0,0.0,0.0
Dhaliwal-Pillay,28,684,302.32,311.14,2,-0.24,1,52.35,9.58
"Jain, Dar and Shan",36,723,88.28,152.13,0,-0.29,0,0.0,0.0
Dugal-Rajagopal,42,739,422.8,460.76,0,0.86,1,82.0,9.3
Saran-Solanki,33,397,41.55,73.26,0,-0.68,0,0.0,0.0
Hegde-Biswas,18,592,446.45,469.02,0,-0.65,0,0.0,0.0
Palla Ltd,8,714,157.29,153.5,0,1.0,1,27.72,9.43
Puri-Mangal,8,545,174.46,161.31,0,-0.02,0,0.0,0.0
Anand-Lad,39,564,148.07,162.68,1,0.5,0,0.0,0.0
Chaudhary-Mukhopadhyay,46,688,144.9,213.69,2,-0.6,0,0.0,0.0
"Karnik, Lal and Chanda",5,775,291.61,265.36,0,0.87,1,44.6,10.62
Dhingra-Kothari,10,877,473.13,515.29,5,-0.04,0,0.0,0.0
"Dutta, Sodhi and Munshi",38,898,138.34,87.37,0,-0.44,0,0.0,0.0
"Rajagopal, Goda and Bawa",7,889,486.14,453.86,0,0.08,1,77.58,8.55
"Gola, Chana and Venkatesh",36,701,287.39,309.17,0,0.89,1,54.13,9.49
Dhar Group,44,820,192.95,179.7,0,-0.62,0,0.0,0.0
Dugar and Sons,15,779,313.44,301.58,0,0.93,1,48.35,9.11
Hora Ltd,20,542,426.88,401.72,0,-0.43,0,0.0,0.0
"Khatri, Gokhale and Kashyap",41,616,261.63,341.3,1,-0.21,0,0.0,0.0
Sane Group,9,627,108.5,104.9,2,-0.56,0,0.0,0.0
Gulati Ltd,44,334,83.74,85.68,1,-0.73,0,0.0,0.0
Sehgal LLC,16,462,460.32,467.35,0,0.03,0,0.0,0.0
Mital-Nath,27,884,115.59,114.2,0,-0.84,0,0.0,0.0
Bhat Inc,40,362,472.37,765.85,2,-0.12,0,0.0,0.0
Dave-Gera,37,886,133.51,137.16,0,-0.4,1,30.2,8.57
"Magar, Magar and Vaidya",3,720,334.91,364.22,0,-0.65,0,0.0,0.0
"Radhakrishnan, Butala and Chana",38,806,380.13,360.92,0,-0.24,1,55.92,8.97
Kunda-Dhingra,7,342,399.77,205.74,0,0.5,0,0.0,0.0
Arya-Rastogi,46,380,492.95,522.53,0,0.73,0,0.0,0.0
Gola Ltd,22,839,84.73,83.28,10,-0.49,0,0.0,0.0
Singhal Ltd,18,777,221.22,241.66,0,0.9,1,49.96,9.12
"Singhal, Dara and Trivedi",16,641,387.51,380.29,0,-0.67,0,0.0,0.0
Ravi-Vasa,34,886,104.55,148.51,2,-0.5,0,0.0,0.0
Krishnan-Misra,19,872,6.62,7.19,0,0.24,1,1.33,8.64
"Bahri, Konda and Bail",10,429,240.86,238.07,0,-0.39,0,0.0,0.0
Savant-Khatri,21,553,178.98,165.16,0,0.97,0,0.0,0.0
Nagi-Pai,7,595,251.04,251.06,0,-0.63,0,0.0,0.0
Jhaveri Ltd,43,749,448.76,418.47,0,-0.15,1,78.71,9.26
Grewal-Nadkarni,10,841,283.67,298.52,2,-0.36,1,53.7,8.79
More-Kumer,48,511,49.21,52.75,0,-0.82,0,0.0,0.0
"Trivedi, Dutta and Sarma",28,703,110.92,120.56,0,-0.1,1,15.34,9.48
"Rau, Muni and Roy",12,822,217.06,198.57,1,0.34,1,39.0,8.89
Kaul PLC,45,507,145.51,135.74,0,0.35,0,0.0,0.0
"Reddy, Oak and Sekhon",7,761,173.88,177.62,3,0.18,0,0.0,0.0
Gade-Singh,39,893,401.71,403.73,2,-0.88,0,0.0,0.0
Bal and Sons,9,524,443.3,422.56,2,-0.94,0,0.0,0.0
Sanghvi LLC,8,462,172.41,156.67,0,-0.99,0,0.0,0.0
"Barad, Choudhury and Soni",43,392,239.75,158.79,0,-0.45,0,0.0,0.0
Karpe-Pandey,34,739,168.39,168.61,0,0.21,1,24.15,9.3
Bhattacharyya-Seth,2,488,162.7,156.82,0,-0.26,0,0.0,0.0
Bassi-Chandran,28,518,328.55,309.53,0,-0.87,0,0.0,0.0
"Verma, Dhillon and Krish",49,525,499.07,459.23,0,0.81,0,0.0,0.0
"Shetty, Dave and Dhar",1,358,49.94,49.01,0,0.77,0,0.0,0.0
"Gulati, Verma and Singh",23,681,419.6,401.11,0,-0.48,1,67.6,9.6
Malhotra-Om,40,766,460.65,468.48,0,-0.04,1,60.57,9.17
"Prabhu, Narasimhan and Date",23,605,58.49,31.52,0,-0.05,0,0.0,0.0
Tara Ltd,2,840,100.51,93.41,1,-0.61,0,0.0,0.0
Om-Varughese,12,330,214.82,366.58,0,-0.72,0,0.0,0.0
Samra-Gera,8,768,149.55,139.24,0,-0.32,1,26.73,9.16
Srinivas-Dayal,3,533,485.84,486.69,0,0.38,0,0.0,0.0
Reddy LLC,15,819,165.19,239.27,1,-0.65,0,0.0,0.0
"Guha, Kadakia and Palla",1,596,236.11,235.76,0,0.58,0,0.0,0.0
Memon PLC,40,319,119.11,108.35,0,-0.69,0,0.0,0.0
Mutti-Bala,39,394,167.32,164.77,0,0.71,0,0.0,0.0
"Bali, Mammen and Babu",35,666,488.07,756.72,0,0.93,0,0.0,0.0
Karan Inc,13,865,26.46,28.06,0,-0.7,0,0.0,0.0
Patil-Chacko,43,896,341.4,337.6,0,0.74,1,76.13,8.52
Jani-Raja,46,471,29.81,28.0,0,-0.46,0,0.0,0.0
"Chakrabarti, Sarma and Puri",3,572,66.68,70.64,0,-0.48,0,0.0,0.0
"Keer, Murty and Kaur",32,579,327.86,304.93,2,-0.84,0,0.0,0.0
Brar-Swaminathan,34,486,281.91,259.15,2,0.11,0,0.0,0.0
"Borde, Deol and Narayan",22,337,139.34,213.72,2,-0.38,0,0.0,0.0
Buch Inc,39,698,9.95,9.74,0,-0.59,0,0.0,0.0
Sant-Parmer,16,384,285.26,297.55,0,-0.01,0,0.0,0.0
"Bhattacharyya, Balay and Pant",4,329,130.88,89.57,0,-0.22,0,0.0,0.0
"Keer, Kara and Shetty",13,649,106.94,114.76,0,-0.31,1,18.48,9.75
Yogi Inc,15,816,354.8,342.57,0,-0.26,1,70.76,8.92
Sami-Kashyap,20,626,349.32,361.83,0,0.36,1,62.6,9.87
"Dyal, Nayar and Upadhyay",45,757,257.44,279.26,0,0.58,1,42.49,9.21
"Gulati, Sehgal and Sathe",27,798,377.73,362.88,2,-0.72,0,0.0,0.0
Chahal and Sons,17,721,449.69,231.41,0,0.94,0,0.0,0.0
"Dara, Parmer and Choudhary",31,626,476.78,498.85,0,0.73,1,54.98,9.87
Munshi-Bawa,24,693,411.23,436.99,0,0.83,1,72.45,9.54
Bansal and Sons,27,837,126.03,117.27,3,-0.54,0,0.0,0.0
Balan LLC,9,630,488.83,520.75,0,0.06,1,76.88,9.85
"Chowdhury, Mody and Dhar",19,614,370.76,369.82,0,-0.41,1,43.95,9.93
Shan Group,1,436,146.23,191.09,0,0.74,0,0.0,0.0
"Dhar, Bakshi and Cherian",13,671,77.1,74.36,0,-0.74,0,0.0,0.0
"Issac, Kade and Bhasin",7,624,390.39,390.38,0,0.25,1,67.43,9.88
Ramesh Ltd,48,530,298.59,300.89,2,-0.53,0,0.0,0.0
"Chacko, Mistry and Dar",8,673,380.95,348.5,0,0.67,1,49.64,9.63
Singh-Mani,21,864,131.66,143.15,2,0.95,1,32.59,8.68
"Choudhry, Sarraf and Chand",19,508,368.51,397.16,0,0.49,0,0.0,0.0
Aurora Group,20,528,91.71,88.78,0,0.71,0,0.0,0.0
Goyal Group,23,570,418.45,450.55,3,-0.87,0,0.0,0.0
"Nayak, Sastry and Bobal",37,479,283.84,307.87,0,-0.65,0,0.0,0.0
Pradhan-Misra,5,710,468.47,495.29,0,0.93,1,96.1,10.95
Lala LLC,45,867,151.64,105.63,0,-0.16,0,0.0,0.0
Nazareth-Gala,44,591,290.85,289.83,3,-0.04,0,0.0,0.0
"Kaul, Kadakia and Prashad",33,394,198.82,207.2,0,-0.24,0,0.0,0.0
"Gade, Mitra and Sama",10,620,115.72,80.34,1,0.78,0,0.0,0.0
Brar-Jayaraman,23,405,298.14,269.93,0,-0.09,0,0.0,0.0
"Nagar, Panchal and De",27,693,434.55,410.04,1,0.56,1,67.11,9.54
"Bhatnagar, Muni and Hayre",38,754,56.5,53.7,0,0.25,1,8.12,9.23
Deshpande Ltd,28,529,128.03,128.58,0,-0.49,0,0.0,0.0
Shroff Ltd,10,368,39.93,38.71,0,0.3,0,0.0,0.0
Merchant-Pandit,23,307,398.01,186.76,0,0.95,0,0.0,0.0
"Bhandari, Chatterjee and Bumb",46,620,222.47,243.71,0,0.87,1,31.61,9.9
Sathe-Barad,41,779,18.82,20.3,1,0.62,1,2.85,9.11
"Mitter, Dugar and Goel",24,775,88.1,86.82,0,-0.17,1,15.58,9.12
Chauhan PLC,35,790,427.12,426.94,0,-0.44,1,78.89,9.05
Deo LLC,5,766,445.73,741.48,0,0.29,0,0.0,0.0
Manda PLC,13,699,453.01,432.76,2,0.17,1,81.33,9.5
"Dave, Sinha and Kade",15,639,173.17,169.26,0,0.29,1,25.23,9.8
"Anand, Issac and Chana",29,582,33.09,15.6,0,-0.81,0,0.0,0.0
"Gaba, Keer and Dhingra",7,528,51.63,52.59,0,0.24,0,0.0,0.0
Anne-Prashad,30,543,235.38,148.77,0,-0.17,0,0.0,0.0
"Khatri, Dora and Bose",15,504,462.49,420.01,1,-0.97,0,0.0,0.0
Chander-Kant,4,673,492.31,500.17,0,-0.38,1,58.77,11.13
Dugar-Bobal,39,750,458.12,782.73,3,0.41,0,0.0,0.0
Char-Acharya,12,613,242.88,249.82,0,0.71,1,36.05,9.94
"Muni, Taneja and Ramaswamy",49,695,327.38,210.62,1,-0.7,0,0.0,0.0
Oza-Manne,7,715,284.82,260.72,0,-0.35,1,39.03,9.43
Randhawa Group,22,733,370.89,346.92,1,-0.66,0,0.0,0.0
"Keer, Chakraborty and Bhakta",40,377,151.97,139.71,0,0.64,0,0.0,0.0
Karan LLC,25,325,53.99,58.07,0,-0.56,0,0.0,0.0
Shroff-Bassi,30,511,467.12,637.19,0,-0.61,0,0.0,0.0
Bajaj-Contractor,15,435,130.15,57.03,3,-0.05,0,0.0,0.0
Singh-Yogi,40,339,203.22,214.13,0,-0.44,0,0.0,0.0
Bumb PLC,27,858,271.62,252.82,0,-0.76,0,0.0,0.0
Sha-Tella,29,471,475.98,259.91,0,-0.22,0,0.0,0.0
"Lad, Sinha and Tara",22,565,143.87,155.24,1,0.55,0,0.0,0.0
"Mani, Bhargava and Walia",27,883,208.61,197.91,1,-0.02,1,29.5,8.59
Mallick PLC,29,729,129.4,186.06,0,0.33,0,0.0,0.0
Pal LLC,18,375,302.91,522.23,0,-0.38,0,0.0,0.0
Biswas-Sood,38,519,376.37,361.51,1,0.6,0,0.0,0.0
Mangal-Misra,45,514,113.6,107.46,0,0.04,0,0.0,0.0
"Modi, Banerjee and Nagar",18,416,121.54,182.84,2,-0.58,0,0.0,0.0
Divan-Raval,17,867,310.3,321.33,0,0.64,1,67.85,8.66
Yohannan Inc,10,428,64.6,58.57,0,0.52,0,0.0,0.0
"Chadha, Chaudry and Chaudry",13,459,295.35,289.27,0,0.08,0,0.0,0.0
"Chaudry, Biswas and Aggarwal",36,537,86.93,90.48,0,-0.78,0,0.0,0.0
Kulkarni Inc,27,887,193.99,177.95,0,-0.61,0,0.0,0.0
Krishnan and Sons,41,709,17.48,15.96,0,0.18,1,2.6,9.46
Varghese and Sons,31,454,239.13,236.41,2,0.27,0,0.0,0.0
Sehgal LLC,27,744,300.75,395.02,0,-0.21,0,0.0,0.0
Nigam-Mitra,47,522,52.98,56.09,0,-0.5,0,0.0,0.0
Muni-Sheth,8,595,408.42,404.52,0,-0.18,0,0.0,0.0
Das Inc,24,321,19.08,20.52,0,0.4,0,0.0,0.0
"Naik, Kaur and Ghosh",45,855,50.42,89.71,0,-0.61,0,0.0,0.0
Sood-Rao,29,488,101.43,110.23,0,-0.32,0,0.0,0.0
Soman PLC,20,529,304.23,302.84,0,-0.56,0,0.0,0.0
"Das, Jani and Raghavan",14,427,151.08,148.22,2,0.5,0,0.0,0.0
Batta-Sarraf,1,538,323.65,539.46,0,-0.8,0,0.0,0.0
Kala-Rajan,40,644,299.57,286.12,1,0.05,1,38.53,9.78
"Ramesh, Ramesh and Pai",34,409,450.19,458.41,1,0.05,0,0.0,0.0
Chhabra-Thaker,45,563,208.33,208.42,0,-0.32,0,0.0,0.0
Madan Ltd,20,463,18.48,18.83,1,0.29,0,0.0,0.0
"Rajan, Pant and Munshi",2,733,456.06,436.29,0,-0.75,0,0.0,0.0
Butala-Handa,6,476,453.72,422.09,1,0.58,0,0.0,0.0
"Bahri, Kadakia and Magar",23,394,52.46,51.22,1,0.47,0,0.0,0.0
Shukla-Palla,7,809,277.3,262.29,0,-0.92,0,0.0,0.0
Taneja-Modi,19,831,492.1,265.4,1,0.82,0,0.0,0.0
Sharma and Sons,11,436,214.18,141.75,1,-0.17,0,0.0,0.0
"Yogi, Mandal and More",41,367,275.74,482.19,0,0.1,0,0.0,0.0
Jayaraman Ltd,49,624,189.35,191.96,0,-0.35,1,27.7,9.88
Rattan Ltd,35,735,332.84,340.72,0,0.51,1,53.82,9.32
"Tailor, Sodhi and Chokshi",2,791,248.49,367.73,0,0.93,0,0.0,0.0
"Bawa, Murthy and Prasad",47,707,322.13,333.33,0,-0.8,0,0.0,0.0
"Chowdhury, Sarna and Guha",38,720,143.79,214.77,0,0.22,0,0.0,0.0
Dar-Rajagopal,32,511,402.0,369.06,0,0.58,0,0.0,0.0
Morar PLC,25,306,58.73,78.1,0,-0.65,0,0.0,0.0
"Mahajan, Dada and Kala",8,459,377.85,394.38,0,0.91,0,0.0,0.0
Doctor and Sons,8,411,417.39,444.46,0,-0.6,0,0.0,0.0
"Datta, Saha and Sandhu",3,686,340.54,208.22,0,0.98,0,0.0,0.0
"Bhatt, Gade and Saxena",7,332,219.23,229.82,0,0.32,0,0.0,0.0
"Chana, Ray and Jayaraman",29,657,499.82,201.12,0,-0.04,0,0.0,0.0
"Batra, Sha and Bajaj",17,696,52.4,53.11,1,0.98,1,7.75,9.52
Sekhon LLC,46,572,403.28,409.6,0,-0.8,0,0.0,0.0
Ganesan LLC,18,306,17.71,16.13,0,-0.55,0,0.0,0.0
Soman Ltd,2,642,440.39,246.05,1,0.4,0,0.0,0.0
Korpal Ltd,8,322,310.52,302.01,0,0.72,0,0.0,0.0
Ganesh-Wali,38,456,202.36,189.7,0,0.13,0,0.0,0.0
Prasad Ltd,46,541,24.66,23.57,1,-0.26,0,0.0,0.0
"Din, Chauhan and Kibe",16,558,347.21,358.28,0,0.56,0,0.0,0.0
Tailor-Aggarwal,49,821,491.74,471.37,0,-0.52,0,0.0,0.0
Lata Group,30,633,41.87,69.09,0,-0.48,0,0.0,0.0
"Randhawa, Malhotra and Sandhu",22,864,175.15,160.85,0,-0.34,1,33.47,8.68
Sahota-Sengupta,23,748,387.4,413.42,0,0.7,1,60.96,9.26
Sood Group,45,621,24.99,25.31,0,-0.38,1,3.85,9.89
Hegde Ltd,12,339,281.81,289.84,0,-0.06,0,0.0,0.0
"Baria, Nayar and Bedi",9,713,195.65,308.18,0,0.19,0,0.0,0.0
Balay-Dyal,5,497,306.42,301.43,0,-0.12,0,0.0,0.0
"Kulkarni, Kata and Deep",42,593,100.69,99.03,0,-0.54,0,0.0,0.0
"Murty, Johal and Kaur",40,477,67.76,47.31,10,-0.23,0,0.0,0.0
Hayre PLC,42,586,390.65,382.26,1,-0.54,0,0.0,0.0
Bajwa-Handa,32,738,461.39,499.75,0,-0.76,0,0.0,0.0
Raju-Dar,25,834,211.48,218.46,0,-0.35,1,43.81,8.83
Tripathi Group,35,825,362.13,350.2,0,0.61,1,52.62,8.88
"Gupta, Boase and Sagar",23,587,346.24,363.31,0,-0.11,0,0.0,0.0
"Bal, Murthy and Ramesh",5,623,69.55,65.86,0,-0.52,0,0.0,0.0
Gulati-Kadakia,6,381,251.37,411.09,0,0.77,0,0.0,0.0
Bhavsar-Dar,23,660,69.81,71.72,0,-0.52,0,0.0,0.0
Mandal Group,23,557,162.58,171.65,2,0.15,0,0.0,0.0
"Hayre, Balay and Misra",25,549,393.8,380.08,0,0.84,0,0.0,0.0
"Wable, Suri and Handa",12,510,256.5,237.72,1,0.71,0,0.0,0.0
Jha Group,2,711,22.85,13.97,0,0.72,0,0.0,0.0
"Lal, Bhatnagar and Shah",29,867,342.79,353.91,1,-0.1,1,57.79,8.66
"Khosla, Pathak and Viswanathan",5,636,451.23,490.76,1,0.63,1,53.1,11.32
Kalita LLC,11,572,485.35,491.72,0,0.87,0,0.0,0.0
"Bhargava, Krishna and Goyal",20,379,103.58,100.52,0,0.31,0,0.0,0.0
"Din, Dewan and Iyengar",18,704,354.82,387.8,0,-0.9,0,0.0,0.0
"Lalla, Kothari and Konda",34,773,284.12,300.79,0,0.16,1,62.31,9.13
Dash Inc,5,637,121.82,194.73,0,-0.29,0,0.0,0.0
Khare-Deol,48,624,455.94,622.88,1,0.85,0,0.0,0.0
Mitter Ltd,24,815,380.3,390.22,0,-0.42,1,74.13,8.93
Sengupta-Chand,23,456,462.37,481.14,0,-0.03,0,0.0,0.0
"Jani, Vyas and Korpal",48,845,304.49,326.03,0,-0.02,1,59.47,8.78
"De, Narain and Jani",26,828,153.63,167.98,0,0.45,1,34.84,8.86
Anne PLC,45,464,199.91,210.86,0,-0.85,0,0.0,0.0
"Arora, Bhagat and Khanna",41,620,36.44,34.15,0,0.43,1,4.4,9.9
Venkataraman-Joshi,28,651,155.17,150.63,0,0.61,1,21.17,9.75
Khare Ltd,29,452,336.64,317.87,0,0.2,0,0.0,0.0
"Pandya, Bhatnagar and Rattan",24,726,439.12,419.86,1,-0.75,0,0.0,0.0
"Wason, Nagi and Edwin",9,651,472.3,502.89,0,0.03,1,70.72,9.75
Kakar-Ahuja,46,519,417.85,414.85,2,0.29,0,0.0,0.0
Jha Ltd,42,371,326.81,578.17,10,0.34,0,0.0,0.0
Chauhan-Mody,3,352,205.22,138.06,0,-0.68,0,0.0,0.0
Raja-Gera,25,829,248.32,234.16,0,-0.42,1,45.79,8.86
Seshadri-Oza,14,676,55.73,52.94,0,-0.43,1,8.32,9.62
Narayan Group,17,341,230.41,232.18,2,0.11,0,0.0,0.0
"Venkataraman, Chadha and Nagar",14,447,39.57,36.67,0,0.76,0,0.0,0.0
Kapadia-Balakrishnan,26,313,78.08,76.44,1,0.96,0,0.0,0.0
Gara-Sethi,5,683,272.13,381.45,1,0.36,0,0.0,0.0
Vora-Nayak,45,600,47.28,49.51,0,-0.75,0,0.0,0.0
Bhatia and Sons,34,741,142.38,154.2,0,0.89,1,21.6,9.29
Rajagopal Ltd,24,826,197.31,208.13,0,-0.88,0,0.0,0.0
Chada-Chakrabarti,42,645,10.6,10.84,1,-0.86,0,0.0,0.0
Choudhary-Rao,45,664,234.78,248.45,0,0.03,1,45.19,9.68
Rajan-Sarna,26,360,252.27,258.55,0,-0.85,0,0.0,0.0
"Banerjee, Parmer and Rao",31,619,17.71,23.76,0,0.35,0,0.0,0.0
"Bora, Gole and Mitter",23,624,250.66,237.91,3,-0.74,0,0.0,0.0
"Chatterjee, Sarkar and Pandey",22,472,332.66,210.59,0,0.67,0,0.0,0.0
"Dash, Kanda and Narula",9,457,25.01,25.45,1,0.2,0,0.0,0.0
Mammen-Uppal,15,446,89.93,91.61,0,0.36,0,0.0,0.0
"Jaggi, Basu and Natarajan",13,421,11.62,11.17,2,-0.84,0,0.0,0.0
Sarraf-Ghose,32,789,492.78,492.1,0,0.55,1,68.15,9.05
Devan Ltd,22,443,413.02,453.19,1,0.4,0,0.0,0.0
Sibal-Sawhney,1,822,48.25,44.47,3,0.88,0,0.0,0.0
